名称,经度,纬度,高度,创建时间,注解,类型
TrackPt00223,113 19'42.40"E,23 6'29.13"N,9.6,2019.9.17 10:18:21,,默认图标模式
TrackPt00224,113 19'42.36"E,23 6'28.74"N,9.1,2019.9.17 10:18:22,,默认图标模式
TrackPt00225,113 19'42.33"E,23 6'28.35"N,8.4,2019.9.17 10:18:23,,默认图标模式
TrackPt00226,113 19'42.30"E,23 6'27.96"N,7.8,2019.9.17 10:18:24,,默认图标模式
TrackPt00227,113 19'42.29"E,23 6'27.58"N,7.5,2019.9.17 10:18:25,,默认图标模式
TrackPt00228,113 19'42.30"E,23 6'27.21"N,6.4,2019.9.17 10:18:26,,默认图标模式
TrackPt00229,113 19'42.31"E,23 6'26.84"N,6.4,2019.9.17 10:18:27,,默认图标模式
TrackPt00230,113 19'42.33"E,23 6'26.49"N,5.8,2019.9.17 10:18:28,,默认图标模式
TrackPt00231,113 19'42.35"E,23 6'26.16"N,5.3,2019.9.17 10:18:29,,默认图标模式
TrackPt00232,113 19'42.38"E,23 6'25.85"N,4.8,2019.9.17 10:18:30,,默认图标模式
TrackPt00233,113 19'42.40"E,23 6'25.56"N,4.5,2019.9.17 10:18:31,,默认图标模式
TrackPt00234,113 19'42.43"E,23 6'25.28"N,4.2,2019.9.17 10:18:32,,默认图标模式
TrackPt00235,113 19'42.50"E,23 6'24.59"N,4.2,2019.9.17 10:18:35,,默认图标模式
TrackPt00236,113 19'42.63"E,23 6'23.87"N,5,2019.9.17 10:18:38,,默认图标模式
TrackPt00237,113 19'42.65"E,23 6'23.58"N,5.1,2019.9.17 10:18:39,,默认图标模式
TrackPt00238,113 19'42.68"E,23 6'23.27"N,5.2,2019.9.17 10:18:40,,默认图标模式
TrackPt00239,113 19'42.71"E,23 6'22.94"N,5,2019.9.17 10:18:41,,默认图标模式
TrackPt00240,113 19'42.75"E,23 6'22.61"N,5.3,2019.9.17 10:18:42,,默认图标模式
TrackPt00241,113 19'42.77"E,23 6'22.29"N,5.5,2019.9.17 10:18:43,,默认图标模式
TrackPt00242,113 19'42.79"E,23 6'22.01"N,5.7,2019.9.17 10:18:44,,默认图标模式
TrackPt00243,113 19'42.81"E,23 6'21.34"N,6.8,2019.9.17 10:18:47,,默认图标模式
TrackPt00244,113 19'42.81"E,23 6'20.97"N,7.6,2019.9.17 10:18:50,,默认图标模式
TrackPt00245,113 19'42.80"E,23 6'20.68"N,7.9,2019.9.17 10:18:53,,默认图标模式
TrackPt00246,113 19'42.81"E,23 6'20.35"N,8.3,2019.9.17 10:18:56,,默认图标模式
TrackPt00247,113 19'42.81"E,23 6'19.98"N,7.5,2019.9.17 10:18:59,,默认图标模式
TrackPt00248,113 19'42.86"E,23 6'19.58"N,8.3,2019.9.17 10:19:04,,默认图标模式
TrackPt00249,113 19'42.88"E,23 6'19.45"N,8.6,2019.9.17 10:19:09,,默认图标模式
TrackPt00250,113 19'42.91"E,23 6'19.29"N,9.2,2019.9.17 10:19:14,,默认图标模式
TrackPt00251,113 19'42.95"E,23 6'19.00"N,9.4,2019.9.17 10:19:18,,默认图标模式
TrackPt00252,113 19'43.00"E,23 6'18.65"N,9,2019.9.17 10:19:21,,默认图标模式
TrackPt00253,113 19'43.06"E,23 6'18.23"N,9,2019.9.17 10:19:24,,默认图标模式
TrackPt00254,113 19'43.11"E,23 6'17.76"N,9.3,2019.9.17 10:19:27,,默认图标模式
TrackPt00255,113 19'43.12"E,23 6'17.23"N,8.9,2019.9.17 10:19:30,,默认图标模式
TrackPt00256,113 19'43.07"E,23 6'16.65"N,9.2,2019.9.17 10:19:33,,默认图标模式
TrackPt00257,113 19'42.90"E,23 6'16.09"N,9.2,2019.9.17 10:19:36,,默认图标模式
TrackPt00258,113 19'42.49"E,23 6'15.67"N,9.2,2019.9.17 10:19:39,,默认图标模式
TrackPt00259,113 19'41.81"E,23 6'15.51"N,10.9,2019.9.17 10:19:42,,默认图标模式
TrackPt00260,113 19'41.51"E,23 6'15.51"N,10.9,2019.9.17 10:19:43,,默认图标模式
TrackPt00261,113 19'41.19"E,23 6'15.50"N,10.8,2019.9.17 10:19:44,,默认图标模式
TrackPt00262,113 19'40.84"E,23 6'15.49"N,10.8,2019.9.17 10:19:45,,默认图标模式
